"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"09/08/2024","Galatasaray","Hatayspor","2","1","H","0","0","D","29","10","11","4","13","17","12","2","0","3","0","0","1.25","6.5","9.5","1.22","7.5","10"
"10/08/2024","Kasimpasa","Konyaspor","2","3","A","0","1","A","4","6","3","3","6","7","2","7","5","3","0","0","2.1","3.5","3.3","2","3.5","3.6"
"10/08/2024","Antalyaspor","Goztep","0","0","D","0","0","D","10","10","3","2","9","24","4","6","2","1","0","0","1.95","3.7","3.6","2.3","3.4","3.1"
"10/08/2024","Fenerbahce","Ad. Demirspor","1","0","H","1","0","H","8","6","5","1","17","13","9","4","3","2","0","0","1.14","8.5","14","1.14","8.5","15"
"11/08/2024","Sivasspor","Trabzonspor","0","0","D","0","0","D","15","17","5","2","14","12","5","7","1","0","0","0","3.4","3.5","2.05","2.63","3.3","2.6"
"11/08/2024","Alanyaspor","Eyupspor","1","1","D","0","0","D","17","6","9","3","6","14","6","1","1","1","0","0","1.91","3.8","3.6","2.3","3.4","3.1"
"11/08/2024","Samsunspor","Besiktas","0","2","A","0","2","A","7","10","4","2","12","10","6","2","2","1","0","0","3.8","3.7","1.9","4","3.4","1.95"
"12/08/2024","Bodrumspor","Gaziantep","0","1","A","0","0","D","18","6","3","1","15","9","4","1","2","2","0","1","2.3","3.5","2.9","2.05","3.25","3.75"
"12/08/2024","Rizespor","Buyuksehyr","1","1","D","1","1","D","27","6","6","1","16","16","12","1","0","2","0","0","3","3.4","2.3","2.55","3.2","2.8"
"16/08/2024","Konyaspor","Galatasaray","1","2","A","1","1","D","17","7","3","3","4","20","5","8","1","1","0","0","4.5","4.2","1.67","4.2","4.2","1.7"
"17/08/2024","Kayserispor","Sivasspor","1","2","A","1","1","D","22","9","8","4","14","15","5","4","1","3","0","1","2.4","3.2","3","2.3","3.3","3.1"
"17/08/2024","Ad. Demirspor","Rizespor","1","2","A","0","1","A","12","10","5","5","15","18","1","6","2","0","0","0","3","3.5","2.25","3.1","3.25","2.3"
"17/08/2024","Goztep","Fenerbahce","2","2","D","0","2","A","16","13","8","5","22","14","5","5","3","3","0","0","8","4.75","1.38","4.75","3.8","1.73"
"18/08/2024","Buyuksehyr","Alanyaspor","4","2","H","1","2","A","12","13","8","3","19","11","4","4","4","3","0","0","2.05","3.5","3.5","2.1","3.4","3.5"
"18/08/2024","Besiktas","Antalyaspor","4","2","H","2","1","H","17","7","9","3","18","15","3","0","4","1","0","1","1.5","4.33","5.75","1.36","5.25","7.5"
"18/08/2024","Gaziantep","Samsunspor","0","1","A","0","1","A","20","14","8","4","9","14","6","3","3","3","0","0","2.63","3.2","2.75","3.1","3.25","2.35"
"19/08/2024","Eyupspor","Bodrumspor","4","1","H","0","1","A","16","15","9","5","8","13","3","4","1","1","0","0","2","3.3","3.9","2.25","3.1","3.4"
"19/08/2024","Hatayspor","Kasimpasa","1","1","D","1","0","H","9","14","1","6","8","10","3","7","2","1","0","0","2.35","3.4","2.9","2.55","3.2","2.8"
"23/08/2024","Alanyaspor","Goztep","1","1","D","0","1","A","11","10","3","3","6","23","8","2","1","4","0","0","1.91","3.4","4","2.25","3.2","3.3"
"24/08/2024","Sivasspor","Eyupspor","0","1","A","0","1","A","7","6","3","3","8","8","4","4","2","3","0","0","2.3","3.3","3.1","2.5","3.3","2.8"
"24/08/2024","Bodrumspor","Konyaspor","3","1","H","2","1","H","8","3","5","2","6","8","5","5","2","2","0","0","2.9","3.1","2.5","2.45","2.9","3.2"
"25/08/2024","Kasimpasa","Ad. Demirspor","2","2","D","1","0","H","15","10","6","3","10","10","8","4","1","0","0","0","1.57","4.2","5.25","1.55","4.33","5.25"
"25/08/2024","Antalyaspor","Hatayspor","3","2","H","0","2","A","11","9","7","5","14","16","10","2","4","6","0","1","2.2","3.3","3.3","2.5","3.1","2.9"
"25/08/2024","Rizespor","Fenerbahce","0","5","A","0","1","A","10","18","4","9","8","16","1","6","3","2","0","0","4.75","3.8","1.7","4.75","3.9","1.7"
